SongId,SongName,Album,Artist,ReleaseDate,SongLength,TimesPlayed
0,"SUPA DUPA LUV","WE GO UP",BABYMONSTER,10-10-2025,172,23
1,Miniskirt,MINISKIRT,AOA,16-01-2014,179,12
2,Elevator,"Essence of Reverie",BAEKHYUN,19-05-2025,186,4
3,Perfume,"First Street",ToppDogg,07-11-2016,187,6
4,intentions,"alone tonight",starfall,26-04-2024,224,7
5,Promise,Promise,JUNNY,16-12-2023,175,4
6,"Love, Maybe",DRIP,BABYMONSTER,01-11-2024,187,5
7,"Rainy Day","First Street",ToppDogg,07-11-2016,217,2
8,venus,venus,"Regina Song",22-12-2023,249,10
9,DRIP,DRIP,BABYMONSTER,01-11-2024,180,3
10,"Spring Day","You Never Walk Alone",BTS,13-02-2017,274,6
11,"Off My Face",Justice,"Justin Bieber",19-03-2021,156,8
12,Marigold,"Momentary Sixth Sense",Aimyon,13-02-2019,306,14
13,"Roses (ISA)",Metamorphic,STAYC,01-07-2024,161,5
14,BILLIONAIRE,DRIP,BABYMONSTER,01-11-2024,157,2
15,"I WANT IT","I WANT IT",STAYC,23-07-2025,184,16
16,DRIP,N/a,izna,25-11-2024,142,3
17,again,"Green Garden Pop",YUI,05-12-2012,255,9
